No.,Time,Source,Destination,Protocol,Length,Info,Class
868,11.943208,Local,Static,TCP,54,ACK,browsing
870,11.944291,Static,Local,TCP,60,ACK,browsing
872,11.96064,Static,Local,TCP,60,ACK,browsing
874,11.961573,Static,Local,TCP,60,ACK,browsing
876,11.962354,Local,Static,TCP,54,ACK,browsing
878,11.962569,Local,Static,TCP,54,ACK,browsing
880,11.964087,Static,Local,TCP,60,ACK,browsing
883,11.966112,Local,Static,TCP,54,ACK,browsing
886,11.966333,Local,Static,TCP,54,ACK,browsing
890,11.967055,Local,Static,TCP,54,ACK,browsing
892,11.967467,Local,Static,TCP,54,ACK,browsing
894,11.967812,Local,Static,TCP,54,ACK,browsing
899,11.968466,Static,Local,TCP,60,ACK,browsing
900,11.968496,Local,Static,TCP,54,ACK,browsing
903,11.968887,Local,Static,TCP,54,ACK,browsing
905,11.978679,Static,Local,TCP,60,ACK,browsing
907,11.984547,Local,Static,TCP,54,ACK,browsing
909,11.987385,Static,Local,TCP,60,ACK,browsing
912,11.988061,Static,Local,TCP,60,ACK,browsing
913,11.988061,Static,Local,TCP,60,ACK,browsing
915,11.993178,Local,Static,TCP,54,ACK,browsing
917,11.993222,Local,Static,TCP,54,ACK,browsing
920,11.993753,Local,Static,TCP,54,ACK,browsing
924,11.993773,Local,Static,TCP,54,ACK,browsing
925,11.993801,Local,Static,TCP,54,ACK,browsing
926,11.993813,Local,Static,TCP,54,ACK,browsing
927,11.993879,Static,Local,TCP,60,ACK,browsing
929,11.994285,Local,Static,TCP,54,ACK,browsing
931,11.994517,Local,Static,TCP,54,ACK,browsing
933,11.995062,Local,Static,TCP,54,ACK,browsing
935,11.995217,Local,Static,TCP,54,ACK,browsing
938,11.998362,Local,Static,TCP,54,ACK,browsing
941,11.99915,Local,Static,TCP,54,ACK,browsing
943,11.999781,Local,Static,TCP,54,ACK,browsing
946,12.00052,Local,Static,TCP,54,ACK,browsing
948,12.000892,Local,Static,TCP,54,ACK,browsing
950,12.001084,Static,Local,TCP,60,ACK,browsing
952,12.010218,Google,Local,TCP,60,ACK,browsing
954,12.010428,Google,Local,TCP,60,ACK,browsing
956,12.015927,Google,Local,TCP,1472,ACK,browsing
957,12.015969,Local,Google,TCP,54,ACK,browsing
958,12.015927,Google,Local,TCP,4308,ACK,browsing
959,12.016005,Local,Google,TCP,54,ACK,browsing
960,12.015927,Google,Local,TCP,2894,ACK,browsing
961,12.016025,Local,Google,TCP,54,ACK,browsing
962,12.016099,Google,Local,TCP,4304,ACK,browsing
963,12.016109,Local,Google,TCP,54,ACK,browsing
965,12.016235,Local,Google,TCP,54,ACK,browsing
968,12.017306,Google,Local,TCP,60,ACK,browsing
973,12.041235,Local,Google,TCP,74,ACK,browsing
974,12.041402,Local,Google,TCP,74,ACK,browsing
975,12.046705,Google,Local,TCP,60,ACK,browsing
976,12.046766,Local,Google,TCP,54,ACK,browsing
977,12.046839,Google,Local,TCP,60,ACK,browsing
978,12.046849,Local,Google,TCP,54,ACK,browsing
980,12.050198,Google,Local,TCP,60,ACK,browsing
982,12.05211,Google,Local,TCP,60,ACK,browsing
983,12.052283,Local,Google,TCP,74,ACK,browsing
985,12.055828,Local,Google,TCP,54,ACK,browsing
987,12.055967,Local,Google,TCP,54,ACK,browsing
988,12.057245,Google,Local,TCP,60,ACK,browsing
989,12.057307,Local,Google,TCP,54,ACK,browsing
991,12.058239,Local,Google,TCP,54,ACK,browsing
993,12.058339,Local,Google,TCP,54,ACK,browsing
995,12.064755,Google,Local,TCP,60,ACK,browsing
997,12.067481,Static,Local,TCP,60,ACK,browsing
999,12.068259,Static,Local,TCP,60,ACK,browsing
1001,12.068395,Static,Local,TCP,60,ACK,browsing
1003,12.068534,Static,Local,TCP,60,ACK,browsing
